f1,f2,f3,f4,f5,label
0.2860538216605156,0.5918544134443285,0.6147181686496505,0.1865781819579487,0.6578031395337796,0
0.958105566519,0.8106327184182086,0.7196236259285088,0.778332204134298,0.8437708548955923,1
0.770312932218878,0.8055344300042718,0.2232024067072003,0.6055735777020707,0.822023705381691,1
0.9868700030924628,0.9067696440653498,0.4483353020501625,0.5143584773043993,0.8556996494424585,1
0.2081654619047211,0.121465419125466,0.0581795412201265,0.6876319641012778,0.8846205349514479,0
0.1369170488438281,0.828553546594094,0.8815766323449847,0.8409464923100735,0.5623880952271444,0
0.9083738022899002,0.2931608371130548,0.8620360830446803,0.1924293595984999,0.2065016805597801,1
0.0686385179771202,0.7375640212288315,0.6052466655643846,0.2067957625731371,0.3118887025512732,1
0.0753327223396571,0.5063738036549934,0.7203153089349643,0.1944502282828257,0.937679607069629,0
0.5435346894873128,0.9514719325776791,0.8385303202107824,0.1458761931566641,0.9606475131413128,1
0.089399716518068,0.2515144403975171,0.0389031440124945,0.1588626629333795,0.620280289391183,0
0.3823932675263133,0.0663122866847666,0.0750045985481873,0.1295155724725049,0.3602584483689044,0
0.6685604396811187,0.2971011652064498,0.6468021913975015,0.7973167892148951,0.9559377688114116,1
0.4291690225618433,0.6692100174474402,0.5184481661066843,0.1233253261111633,0.037880232699063,0
0.0439563074864033,0.0423917919990324,0.0594424588089772,0.7841167129856291,0.4677117907168181,0
0.1942859887490206,0.9264884198046988,0.4966828676955035,0.9917487329590632,0.5083917306545734,1
0.4466594839727708,0.675581472465149,0.3996231431391285,0.6359577605178681,0.440366807070387,0
0.0625732781020105,0.4752271355962378,0.4618743969536358,0.7195091509691234,0.3513915299741508,0
0.2975672820151686,0.3738886326066786,0.963739677784306,0.4632589693638099,0.0214434880177891,1
0.943630899917515,0.010102104808489,0.2578081592523392,0.1626874434991413,0.8799189281919785,1
0.2828110757610974,0.0695072227757725,0.5707406300230002,0.4234983910140554,0.6663549721273856,0
0.2676935465528436,0.4076635945189172,0.0525695734232614,0.9805676777515788,0.6788928842963597,0
0.4072190041343883,0.3770000670311486,0.8338166338686794,0.712924367241221,0.9835115556560902,1
0.8259904029529642,0.645862324901496,0.2197780762101316,0.4282551106789563,0.7724170108604983,1
0.5067006631921283,0.6327390107449672,0.4559131886453674,0.5778330439615725,0.1720957925798132,1
0.2694753810459143,0.4078654270869509,0.7125236983320151,0.2409131738213169,0.9959832208250072,0
0.3401882874191935,0.9869393408014292,0.0827329368397918,0.906144853220369,0.7331265844644286,0
0.9744718514900728,0.6442715634795051,0.6974496973518364,0.0665886956454606,0.2649034590584012,1
0.1843045791203615,0.9583577307719352,0.0925478053545147,0.0506099066927643,0.560746955095776,0
0.2422721726255189,0.626366663429887,0.1518765284805625,0.2026081203596123,0.7893090893822468,0
0.6904593137000276,0.6063236706030968,0.3837396228395816,0.265820506305671,0.7281278758523797,1
0.3839352764141929,0.7309113032454446,0.7206963363948209,0.0633148700005972,0.3753677707242979,1
0.4614424528960533,0.9300351225645664,0.9292094371886636,0.3443684452866382,0.0152774211154188,1
0.6752249870445536,0.2495558150705619,0.41075802448123,0.6313145029745907,0.9872178395939556,1
0.0857306038525265,0.8134316268548584,0.5009504260612408,0.9712216826960416,0.8266334821581366,0
0.2340166472858205,0.9144111970972004,0.0931541700744384,0.5942272491085352,0.4210634580758782,0
0.5224588782237448,0.3263453759176551,0.77169724568442,0.8881138977892731,0.3056648039845622,1
0.069116675534498,0.5971992694328705,0.7241230900231794,0.3099967373670218,0.8603155939277297,0
0.0902366982883851,0.1847023775514465,0.6803197560120328,0.0274738742063139,0.935296916740854,0
0.0839678579833353,0.5403994763118708,0.6544412388418475,0.509458041233408,0.4165915605081556,0
0.3228005526997987,0.1611601560434059,0.0480500334068048,0.9381300650506388,0.5768274524492112,0
0.9109033998611136,0.4406574941629382,0.074371244650692,0.4800559055075259,0.9049603385951868,0
0.8319900129914033,0.466860268287832,0.5113181378693467,0.2170365490675954,0.797942089783428,1
0.7500802696904918,0.6987663336526599,0.6349738437511102,0.6097370334884201,0.9620918790957872,1
0.4692538147471125,0.4950391980302944,0.1962316518356792,0.0007248093165658,0.0720756300604741,0
